id;parentid
7685663;7685215
7685667;7684169
7685669;7685377
7685670;7685442
7685681;7684281
7685681;7684297
7685684;7685037
7685695;7685284
7685698;7684508
7685701;7685623
7685727;7685489
7685738;7685210
7685738;7685431
7685744;7685374
7685759;7685326
7685761;7684080
7685763;7684880
7685767;7685649
7685773;7685531
7685780;7685483
7685782;7684918
7685786;7685474
7685809;7684785
7685810;7685617
7685822;7685134
7685833;7685688
7685845;7684774
7685847;7685206
7685857;7685713
7685861;7684513
7685867;7685210
7685867;7685431
7685883;7685776
7685890;7685237
7685906;7685739
7685916;7684442
7685917;7684333
7685929;7685737
7685931;7685799
7685933;7685680
7685939;7685553
7685942;7684465
7685945;7685183
7685953;7684457
7685956;7685650
7685963;7683836
7685972;7685487
7685975;7684437
7685978;7685388
7685985;7684975
7685989;7684425
7685995;7685037
7685995;7685684
7685998;7684353
7686000;7684682
7686001;7685952
7686005;7685121
7686006;7685153
7686009;7685455
7686011;7684792
7686017;7685993
7686022;7684219
7686022;7684566
7686027;7684724
7686029;7684359
7686032;7683970
7686035;7684567
7686036;7684553
7686041;7685361
7686066;7685627
7686079;7686053
7686087;7684455
7686088;7685938
7686097;7685645
7686105;7685367
7686110;7684513
7686110;7685861
7686115;7685574
7686116;7685561
7686117;7684736
7686119;7685227
7686121;7685819
7686123;7684995
7686124;7684380
7686128;7684038
7686129;7684640
7686135;7683999
7686136;7684742
7686150;7685143
7686156;7684669
7686160;7684814
7686162;7685848
7686165;7684634
7686167;7684866
7686179;7686090
7686180;7685889
7686189;7685480
7686194;7686030
7686197;7684477
7686198;7684652
7686200;7685079
7686203;7685399
7686205;7685369
7686207;7684779
7686219;7684580
7686244;7685921
7686252;7684868
7686257;7685170
7686261;7684992
7686264;7685181
7686272;7684676
7686272;7684963
7686276;7685785
7686278;7686222
7686292;7684253
7686305;7684935
7686309;7684480
7686309;7684551
7686317;7684141
7686327;7686100
7686335;7685054
7686337;7685832
7686342;7686155
7686345;7685714
7686346;7685022
7686347;7685909
7686354;7685439
7686356;7684912
7686358;7684647
7686358;7685604
7686365;7685162
7686369;7686003
7686372;7686166
7686374;7684770
7686376;7685180
7686388;7684515
7686399;7685105
7686400;7685040
7686408;7684723
7686411;7686007
7686412;7685757
7686416;7685120
7686417;7684317
7686419;7685778
7686424;7684473
7686431;7684105
7686444;7686178
7686447;7684802
7686448;7684982
7686450;7686092
7686465;7686308
7686466;7686297
7686475;7686360
7686479;7685893
7686484;7684236
7686485;7686187
7686486;7685796
7686492;7685655
7686493;7685174
7686496;7686222
7686507;7685645
7686507;7686097
7686510;7684079
7686515;7686468
7686517;7685403
7686518;7685137
7686519;7684947
7686522;7684843
7686527;7685556
7686535;7683842
7686539;7686265
7686542;7685014
7686544;7686373
7686549;7684453
7686550;7685940
7686554;7684889
7686555;7685256
7686556;7686108
7686557;7684856
7686561;7685259
7686564;7684163
7686570;7686531
7686581;7683993
7686584;7686269
7686585;7686385
