id;lat;lon;z;weight;panoid;type;typename;plat;plon;pz;azimuth
7684353;55.765572;37.604631;180.892502;250.954;7497069;34;Пешеходный переход наземный;55.7653;37.6046;179.203369140625;63
7684354;55.75474;37.600487;161.251694;250.77;7497280;16;Кирпич;55.7547;37.6005;160.55094909668;332
7684355;55.748107;37.610226;142.975189;250.288;7498723;126;Стоянка запрещена;55.7477;37.6099;141.486328125;49
7684356;55.753036;37.573776;151.777359;250.066;7500430;34;Пешеходный переход наземный;55.753;37.5745;148.777770996094;309
7684357;55.759892;37.604161;171.687073;249.406;7499412;57;Осторожно дети;55.7597;37.6037;170.330993652344;59
7684358;55.756682;37.604484;161.543045;249.228;7499603;34;Пешеходный переход наземный;55.7567;37.605;160.454299926758;278
7684359;55.744665;37.603043;149.05217;249.208;7498619;25;Остановка и стоянка запрещена;55.7445;37.6027;147.387100219727;59
7684360;55.738099;37.595184;150.110947;248.983;7497484;34;Пешеходный переход наземный;55.7379;37.5953;147.603057861328;288
7684361;55.761813;37.60515;173.872345;248.783;7499219;57;Осторожно дети;55.762;37.6056;172.278244018555;237
7684362;55.761036;37.604053;170.976486;248.771;7499229;34;Пешеходный переход наземный;55.7613;37.6045;170.952453613281;234
7684363;55.766422;37.60268;180.042236;248.641;7496677;34;Пешеходный переход наземный;55.7664;37.6021;179.873275756836;59
7684364;55.741726;37.594253;149.860748;247.761;7498415;34;Пешеходный переход наземный;55.7417;37.5939;150.050354003906;119
7684365;55.73822;37.602088;141.16304;247.399;7497937;25;Остановка и стоянка запрещена;55.7379;37.6017;139.825332641602;44
7684366;55.750546;37.603987;159.147537;247.262;7500105;34;Пешеходный переход наземный;55.7504;37.6041;156.658386230469;288
7684367;55.748788;37.600516;151.121155;247.237;7499014;34;Пешеходный переход наземный;55.7487;37.6004;150.673278808594;101
7684368;55.760425;37.610357;171.787445;246.984;7499673;34;Пешеходный переход наземный;55.7603;37.6099;171.49446105957;74
7684369;55.740539;37.603932;143.750977;246.873;7497730;34;Пешеходный переход наземный;55.7408;37.6035;143.873153686523;114
7684370;55.767973;37.598997;179.885101;246.418;7496650;34;Пешеходный переход наземный;55.7681;37.599;178.249954223633;242
7684371;55.766322;37.602774;180.292892;246.351;7497081;52;Движение прямо;55.766;37.6032;179.332305908203;299
7684372;55.738481;37.592002;150.040314;245.673;7498236;34;Пешеходный переход наземный;55.7388;37.5916;149.815780639648;151
7684373;55.760158;37.60463;171.455887;245.199;7499416;57;Осторожно дети;55.7599;37.6041;169.861846923828;58
7684374;55.760124;37.611278;167.88765;245.062;7496996;25;Остановка и стоянка запрещена;55.7599;37.6114;165.773620605469;317
7684375;55.757028;37.601811;165.946259;244.775;7499891;34;Пешеходный переход наземный;55.7571;37.6018;165.91650390625;346
7684376;55.75533;37.609611;155.382141;244.046;7499683;34;Пешеходный переход наземный;55.7555;37.6091;154.941711425781;107
7684377;55.759309;37.605648;169.107437;243.115;7499310;34;Пешеходный переход наземный;55.7596;37.6055;168.8125;121
7684378;55.742212;37.595371;152.446228;242.206;7498571;25;Остановка и стоянка запрещена;55.7422;37.5951;151.830627441406;121
7684379;55.744715;37.597744;152.216873;242.047;7498797;16;Кирпич;55.7447;37.5977;150.802932739258;38
7684380;55.750633;37.609934;154.215195;241.894;7496876;25;Остановка и стоянка запрещена;55.7503;37.6097;151.769195556641;11
7684381;55.7697;37.596754;178.474243;241.789;7497135;25;Остановка и стоянка запрещена;55.7695;37.597;176.783020019531;332
7684382;55.742071;37.587562;153.683914;241.768;7498547;25;Остановка и стоянка запрещена;55.7422;37.588;152.100860595703;251
7684383;55.742455;37.58859;152.191727;241.615;7498543;25;Остановка и стоянка запрещена;55.7424;37.5886;151.778839111328;63
7684384;55.737459;37.600982;141.23085;240.981;7497930;34;Пешеходный переход наземный;55.7374;37.6011;139.394332885742;297
7684385;55.756007;37.607399;156.842743;240.88;7499538;34;Пешеходный переход наземный;55.756;37.6078;156.325759887695;222
7684386;55.742785;37.605927;143.562134;240.768;7497428;34;Пешеходный переход наземный;55.743;37.6058;142.178451538086;180
7684387;55.744413;37.602006;147.103271;240.639;7498615;16;Кирпич;55.7444;37.6022;146.713836669922;294
7684388;55.761768;37.605282;173.012543;240.602;7499218;34;Пешеходный переход наземный;55.7621;37.6057;172.418273925781;147
7684389;55.748682;37.609286;148.424881;240.555;7500023;34;Пешеходный переход наземный;55.7489;37.6091;147.020446777344;138
7684390;55.742824;37.596308;152.553864;240.226;7498812;34;Пешеходный переход наземный;55.7428;37.5962;152.105911254883;122
7684391;55.753796;37.602586;161.288315;239.854;7499927;34;Пешеходный переход наземный;55.754;37.6031;162.486099243164;244
7684392;55.747705;37.602196;152.237778;239.784;7500118;34;Пешеходный переход наземный;55.7479;37.6024;151.072113037109;37
7684393;55.763665;37.604824;176.114655;238.885;7499187;126;Стоянка запрещена;55.7633;37.6044;174.560348510742;45
7684394;55.752809;37.600976;160.315704;238.869;7500563;109;Подземный пешеходный переход;55.7528;37.6004;159.258514404297;90
7684395;55.766304;37.602753;180.829483;238.648;7496681;52;Движение прямо;55.7662;37.6026;180.088607788086;299
7684396;55.744853;37.590883;161.134186;238.315;7498892;34;Пешеходный переход наземный;55.7448;37.5908;157.691711425781;37
7684397;55.75818;37.613244;159.093185;238.128;7496971;25;Остановка и стоянка запрещена;55.7579;37.6134;157.459182739258;339
7684398;55.753695;37.602598;162.065338;237.458;7499928;34;Пешеходный переход наземный;55.7539;37.6031;162.123397827148;241
7684399;55.754803;37.60092;163.432388;237.358;7499823;25;Остановка и стоянка запрещена;55.7545;37.601;160.96696472168;348
7684400;55.737395;37.599887;142.063202;237.077;7498045;57;Осторожно дети;55.7373;37.5999;140.711959838867;299
7684401;55.7509;37.600883;161.724228;236.973;7499035;34;Пешеходный переход наземный;55.7506;37.6008;155.391021728516;10
7684402;55.739552;37.604612;139.944641;236.812;7497610;34;Пешеходный переход наземный;55.7395;37.6047;138.424026489258;100
7684403;55.739988;37.589355;152.042892;236.804;7498216;25;Остановка и стоянка запрещена;55.7401;37.5894;151.215301513672;248
7684404;55.739168;37.602805;141.693192;236.303;7497823;34;Пешеходный переход наземный;55.7395;37.6032;140.330307006836;269
